"client","order_fabrication_id","interior_diameter","interior_diameterx","diamter_exterior","diamter_exteriorx","length","lengthp","flat_crush","flat_crushp","h2o","humidité (_)","date contrôle","mois","trial358"
"NORSKE SKOG GOLBEY","50318","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.694","7","7.44","2007-12-21 00:00:00",200712,"T"
"NORSKE SKOG GOLBEY","50318","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.794","7","7.59","2007-12-21 00:00:00",200712,"T"
"NORSKE SKOG GOLBEY","55150","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.499","7","7.46","2009-03-25 00:00:00",200903,"T"
"NORSKE SKOG GOLBEY","55149","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.417","7","7.43","2009-03-18 00:00:00",200903,"T"
"NORSKE SKOG GOLBEY","55295","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.248","7","7.61","2009-04-16 00:00:00",200904,"T"
"NORSKE SKOG GOLBEY","55292","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.192","7","7.34","2009-04-09 00:00:00",200904,"T"
"NORSKE SKOG GOLBEY","55296","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.028","7","7.82","2009-04-20 00:00:00",200904,"T"
"NORSKE SKOG GOLBEY","55294","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.203","7","7.84","2009-04-17 00:00:00",200904,"T"
"NORSKE SKOG GOLBEY","55293","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.466","7","7.3","2009-04-23 00:00:00",200904,"T"
"NORSKE SKOG GOLBEY","55578","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.38","7","7.04","2009-05-11 00:00:00",200905,"T"
"NORSKE SKOG GOLBEY","55576","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.46","7","7.06","2009-05-12 00:00:00",200905,"T"
"NORSKE SKOG GOLBEY","55577","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.62","7","7.62","2009-05-19 00:00:00",200905,"T"
"NORSKE SKOG GOLBEY","55579","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.435","7","7.38","2009-05-20 00:00:00",200905,"T"
"NORSKE SKOG GOLBEY","55869","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.718","7","7.67","2009-06-02 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","55868","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.361","7","7.64","2009-06-02 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","55872","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.768","7","7.33","2009-06-11 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","55870","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.96","7","7.47","2009-06-08 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","55873","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.589","7","7.38","2009-06-17 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","56026","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.54","7","7.43","2009-06-16 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","55874","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.703","7","6.82","2009-06-25 00:00:00",200906,"T"
"NORSKE SKOG GOLBEY","56151","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.244","7","7.85","2009-07-03 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56150","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.346","7","7.77","2009-07-06 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56153","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.424","7","7.69","2009-07-09 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56152","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.154","7","7.9","2009-07-13 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56155","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.838","7","7.08","2009-07-31 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56291","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.399","7","7.4","2009-07-20 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56414","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.399","7","7.24","2009-07-29 00:00:00",200907,"T"
"NORSKE SKOG GOLBEY","56409","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.57","7","7.27","2009-08-05 00:00:00",200908,"T"
"NORSKE SKOG GOLBEY","56460","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.691","7","7.08","2009-08-07 00:00:00",200908,"T"
"NORSKE SKOG GOLBEY","56413","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.644","7","7.03","2009-08-21 00:00:00",200908,"T"
"NORSKE SKOG GOLBEY","56416","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.905","7","6.9","2009-09-08 00:00:00",200909,"T"
"NORSKE SKOG GOLBEY","56411","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.953","7","7.02","2009-08-24 00:00:00",200908,"T"
"NORSKE SKOG GOLBEY","56653","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.74","7","7.78","2009-08-28 00:00:00",200908,"T"
"NORSKE SKOG GOLBEY","56698","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.726","7","7.44","2009-09-04 00:00:00",200909,"T"
"NORSKE SKOG GOLBEY","56699","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.852","7","7.27","2009-09-11 00:00:00",200909,"T"
"NORSKE SKOG GOLBEY","56700","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.596","7","7.05","2009-10-01 00:00:00",200910,"T"
"NORSKE SKOG GOLBEY","56701","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.572","7","7.5","2009-09-22 00:00:00",200909,"T"
"NORSKE SKOG GOLBEY","56927","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.801","7","7.48","2009-10-09 00:00:00",200910,"T"
"NORSKE SKOG GOLBEY","56415","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.597","7","7.63","2009-10-12 00:00:00",200910,"T"
"NORSKE SKOG GOLBEY","56997","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.934","7","7.33","2009-10-16 00:00:00",200910,"T"
"NORSKE SKOG GOLBEY","56996","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.844","7","7.13","2009-11-06 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","56998","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.568","7","7.08","2009-11-03 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","57000","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.377","7","7.1","2009-10-28 00:00:00",200910,"T"
"NORSKE SKOG GOLBEY","57265","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.915","7","7.4","2009-11-20 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","56999","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.721","7","7.31","2009-11-16 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","57267","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.819","7","7.1","2009-12-03 00:00:00",200912,"T"
"NORSKE SKOG GOLBEY","57264","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.823","7","7.58","2009-11-19 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","57266","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.777","7","7.81","2009-11-30 00:00:00",200911,"T"
"NORSKE SKOG GOLBEY","57605","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.454","7","7.89","2009-12-08 00:00:00",200912,"T"
"NORSKE SKOG GOLBEY","57263","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.471","7","7.02","2009-12-10 00:00:00",200912,"T"
"NORSKE SKOG GOLBEY","57608","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.321","7","7.92","2009-12-24 00:00:00",200912,"T"
"NORSKE SKOG GOLBEY","57971","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.885","7","7.7","2010-01-08 00:00:00",201001,"T"
"NORSKE SKOG GOLBEY","57607","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.872","7","7.88","2010-01-11 00:00:00",201001,"T"
"NORSKE SKOG GOLBEY","57972","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.588","7","7.27","2010-01-12 00:00:00",201001,"T"
"NORSKE SKOG GOLBEY","57973","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.805","7","7.22","2010-01-21 00:00:00",201001,"T"
"NORSKE SKOG GOLBEY","58271","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.573","7","7.46","2010-02-08 00:00:00",201002,"T"
"NORSKE SKOG GOLBEY","58297","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.788","7","7.53","2010-02-02 00:00:00",201002,"T"
"NORSKE SKOG GOLBEY","58267","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.691","7","7.14","2010-02-11 00:00:00",201002,"T"
"NORSKE SKOG GOLBEY","58269","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.628","7","7.32","2010-02-16 00:00:00",201002,"T"
"NORSKE SKOG GOLBEY","58268","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.348","7","7.3","2010-02-23 00:00:00",201002,"T"
"NORSKE SKOG GOLBEY","58672","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.772","7","7.65","2010-03-02 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","58674","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.395","7","7.2","2010-03-10 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","58673","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.472","7","7.84","2010-03-08 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","58677","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.356","7","7.25","2010-03-29 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","58678","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.472","7","7.88","2010-03-22 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","59079","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.564","7","7.08","2010-03-31 00:00:00",201003,"T"
"NORSKE SKOG GOLBEY","59083","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.643","7","7.29","2010-04-02 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59084","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.687","7","7.27","2010-04-14 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59082","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.518","7","7.78","2010-04-13 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59081","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.627","7","7.16","2010-04-22 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59080","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.285","7","7.18","2010-04-20 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59085","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.638","7","7.05","2010-04-27 00:00:00",201004,"T"
"NORSKE SKOG GOLBEY","59520","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.634","7","7.75","2010-05-03 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59519","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.695","7","7","2010-05-04 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59086","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.565","7","7.85","2010-05-07 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59525","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.732","7","7.39","2010-05-19 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59521","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.54","7","7.81","2010-05-17 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59524","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.435","7","7.65","2010-05-25 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","59993","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.608","7","7.44","2010-05-31 00:00:00",201005,"T"
"NORSKE SKOG GOLBEY","60115","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.364","7","7.49","2010-06-04 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","60002","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.326","7","7.65","2010-06-04 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","60001","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.575","7","7.7","2010-06-09 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","60303","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.682","7","7.75","2010-06-18 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","59998","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.689","7","7.75","2010-06-18 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","59995","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.698","7","7.1","2010-06-25 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","59994","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.477","7","7.82","2010-06-28 00:00:00",201006,"T"
"NORSKE SKOG GOLBEY","60454","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.533","7","7.47","2010-07-05 00:00:00",201007,"T"
"NORSKE SKOG GOLBEY","60453","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.519","7","7.16","2010-07-07 00:00:00",201007,"T"
"NORSKE SKOG GOLBEY","60449","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.407","7","7.42","2010-07-15 00:00:00",201007,"T"
"NORSKE SKOG GOLBEY","60452","76.5",NULL,"106.5",NULL,"8800",NULL,"3","3.619","7","7.01","2010-08-04 00:00:00",201008,"T"
"NORSKE SKOG GOLBEY","60457","76.5",NULL,"106.5",NULL,"9820",NULL,"3","3.541","7","7.52","2010-07-26 00:00:00",201007,"T"
